,Question,Score,N
0,E7,0.07430966454234998,3.0
0,E7,0.0626979889707719,4.0
0,E7,0.05897776422677893,5.0
0,E7,0.053743290009251675,6.0
0,E7,0.05196254330937395,7.0
0,E7,0.04864470429414078,8.0
0,E7,0.046416059577882626,9.0
0,E7,0.04490082380999462,10.0
0,N8,0.07230160188053826,3.0
0,N8,0.062902714262151,4.0
0,N8,0.05891071630767938,5.0
0,N8,0.056482801232276024,6.0
0,N8,0.05354408847667575,7.0
0,N8,0.05236253776841999,8.0
0,N8,0.0468475166969025,9.0
0,N8,0.04478794558317959,10.0
0,E5,0.07335038070238124,3.0
0,E5,0.06308075464945813,4.0
0,E5,0.059581773176209704,5.0
0,E5,0.05430929302952807,6.0
0,E5,0.053078422873916696,7.0
0,E5,0.04945926100029284,8.0
0,E5,0.04746233935277683,9.0
0,E5,0.045848947766756395,10.0
0,N6,0.07399597152564442,3.0
0,N6,0.06320694053385935,4.0
0,N6,0.059507904191807716,5.0
0,N6,0.05413816245178052,6.0
0,N6,0.053814063607670944,7.0
0,N6,0.052487968850148226,8.0
0,N6,0.04672053905114566,9.0
0,N6,0.045267730258683525,10.0
0,E3,0.07442408725145229,3.0
0,E3,0.06374612579640371,4.0
0,E3,0.05963580878870065,5.0
0,E3,0.05662345443131561,6.0
0,E3,0.05225573137468619,7.0
0,E3,0.051150035082724,8.0
0,E3,0.04727593653410673,9.0
0,E3,0.04575782888144867,10.0
0,N10,0.07411974739401872,3.0
0,N10,0.06357146538794262,4.0
0,N10,0.05920031865068068,5.0
0,N10,0.05738779672752329,6.0
0,N10,0.05266097466144989,7.0
0,N10,0.053011036901874795,8.0
0,N10,0.04732604119887509,9.0
0,N10,0.045272053864149016,10.0
0,N7,0.07302516265521361,3.0
0,N7,0.06337970508570541,4.0
0,N7,0.05882163702618557,5.0
0,N7,0.05457262482682792,6.0
0,N7,0.052601889061338426,7.0
0,N7,0.05260925761029199,8.0
0,N7,0.04670511070330732,9.0
0,N7,0.045149395357972716,10.0
0,E10,0.07460467533985485,3.0
0,E10,0.0643586708180454,4.0
0,E10,0.05984395726223452,5.0
0,E10,0.05386969066279698,6.0
0,E10,0.05210093674598677,7.0
0,E10,0.049614135587782084,8.0
0,E10,0.04727740268448085,9.0
0,E10,0.04577383289437421,10.0
0,N1,0.07512890699497772,3.0
0,N1,0.06396744571553531,4.0
0,N1,0.05948281819936859,5.0
0,N1,0.057538611369213594,6.0
0,N1,0.05421835114259563,7.0
0,N1,0.053185053303296245,8.0
0,N1,0.04716906653648848,9.0
0,N1,0.04568276149136768,10.0
0,E2,0.07446907342432418,3.0
0,E2,0.06450574322680512,4.0
0,E2,0.060479235436852574,5.0
0,E2,0.05705433851291642,6.0
0,E2,0.05281857727788374,7.0
0,E2,0.04974252531674444,8.0
0,E2,0.04736773023385245,9.0
0,E2,0.04589726406578304,10.0
0,N9,0.07359198289506964,3.0
0,N9,0.06379964766215429,4.0
0,N9,0.05960252907964625,5.0
0,N9,0.05499014323169765,6.0
0,N9,0.05221161876905038,7.0
0,N9,0.05279512252597923,8.0
0,N9,0.04668044350404964,9.0
0,N9,0.045352940706007185,10.0
0,E9,0.07466946237263422,3.0
0,E9,0.0646027706789494,4.0
0,E9,0.060107292183153825,5.0
0,E9,0.05744500157719497,6.0
0,E9,0.05310357126791222,7.0
0,E9,0.05267134880688475,8.0
0,E9,0.047346341686652235,9.0
0,E9,0.046072850044136415,10.0
0,E4,0.07475171922573305,3.0
0,E4,0.06422333523830645,4.0
0,E4,0.06032749749095707,5.0
0,E4,0.05501000433304512,6.0
0,E4,0.0524248926528412,7.0
0,E4,0.0498399772625057,8.0
0,E4,0.0468732909544624,9.0
0,E4,0.045773735229791626,10.0
0,E1,0.07440922312529087,3.0
0,E1,0.06424504421712204,4.0
0,E1,0.0602478954275221,5.0
0,E1,0.05705966449422772,6.0
0,E1,0.05298287349339386,7.0
0,E1,0.05099852155894542,8.0
0,E1,0.046965479640260537,9.0
0,E1,0.04557703046777509,10.0
0,E6,0.07497630358645327,3.0
0,E6,0.06488107408882997,4.0
0,E6,0.060662078103543425,5.0
0,E6,0.058100921753447575,6.0
0,E6,0.05400032309841192,7.0
0,E6,0.050595859337301305,8.0
0,E6,0.04792106736578062,9.0
0,E6,0.046064339917639356,10.0
0,A7,0.07616579666807953,3.0
0,A7,0.06538615189371368,4.0
0,A7,0.06111576926031807,5.0
0,A7,0.055737581749912814,6.0
0,A7,0.052651054299969594,7.0
0,A7,0.04968137224721895,8.0
0,A7,0.04758947533839515,9.0
0,A7,0.045785187072382896,10.0
0,C4,0.07483699504584215,3.0
0,C4,0.06525241142834659,4.0
0,C4,0.06024062983794419,5.0
0,C4,0.054808734038138546,6.0
0,C4,0.052599109402839725,7.0
0,C4,0.05273031632504049,8.0
0,C4,0.04641063969479896,9.0
0,C4,0.04456676973601112,10.0
0,N5,0.07523876023359675,3.0
0,N5,0.0651096060218937,4.0
0,N5,0.06081732904883298,5.0
0,N5,0.055442047454556075,6.0
0,N5,0.053964354594574805,7.0
0,N5,0.0518946569278192,8.0
0,N5,0.04769896111236632,9.0
0,N5,0.04605350922402952,10.0
0,A9,0.07674523293166838,3.0
0,A9,0.06564514522160064,4.0
0,A9,0.061660848102376715,5.0
0,A9,0.057771515137637765,6.0
0,A9,0.05329746182651341,7.0
0,A9,0.04971057202122516,8.0
0,A9,0.047196678979895296,9.0
0,A9,0.04551506261037144,10.0
0,A4,0.07670526617901643,3.0
0,A4,0.06567184497829655,4.0
0,A4,0.061502505804598,5.0
0,A4,0.057154361133943746,6.0
0,A4,0.052177788887020536,7.0
0,A4,0.049456755645104225,8.0
0,A4,0.047437582502845126,9.0
0,A4,0.04558695962922103,10.0
0,N3,0.0753904476371891,3.0
0,N3,0.06478160579660994,4.0
0,N3,0.059913567007762604,5.0
0,N3,0.05801097013419219,6.0
0,N3,0.05495198531329791,7.0
0,N3,0.05326868257065984,8.0
0,N3,0.047840195256562947,9.0
0,N3,0.046514257195143634,10.0
0,A2,0.07596075198521654,3.0
0,A2,0.06534870993984654,4.0
0,A2,0.0610415715259132,5.0
0,A2,0.05629183432532995,6.0
0,A2,0.052919840155185666,7.0
0,A2,0.051277290707265076,8.0
0,A2,0.04772145331491375,9.0
0,A2,0.045912061576065186,10.0
0,A5,0.07664507775102616,3.0
0,A5,0.06589466210689068,4.0
0,A5,0.06207295313678473,5.0
0,A5,0.05574364710794449,6.0
0,A5,0.053037927377594996,7.0
0,A5,0.0491854949773733,8.0
0,A5,0.047469285134617685,9.0
0,A5,0.04614154442258021,10.0
0,E8,0.07551543658028427,3.0
0,E8,0.06555171965231223,4.0
0,E8,0.06109691932972267,5.0
0,E8,0.05816916052988235,6.0
0,E8,0.05419106077589282,7.0
0,E8,0.049883832298587234,8.0
0,E8,0.04745346982147682,9.0
0,E8,0.0458940567737881,10.0
0,A6,0.07698877431946483,3.0
0,A6,0.06620591692429283,4.0
0,A6,0.061566684707320116,5.0
0,A6,0.05538032265906329,6.0
0,A6,0.05279361047335274,7.0
0,A6,0.0501489537209101,8.0
0,A6,0.047999610216103696,9.0
0,A6,0.04651322677425814,10.0
0,C6,0.07582175494120429,3.0
0,C6,0.06630661528965802,4.0
0,C6,0.061030941791594434,5.0
0,C6,0.055792907066231946,6.0
0,C6,0.054189664826936434,7.0
0,C6,0.05315908190573908,8.0
0,C6,0.04676262023482884,9.0
0,C6,0.044729726106604265,10.0
0,A10,0.07570149742314512,3.0
0,A10,0.0652074676868661,4.0
0,A10,0.06035922418425161,5.0
0,A10,0.058103187503285865,6.0
0,A10,0.053614059771777293,7.0
0,A10,0.052252608921975974,8.0
0,A10,0.04772462819977797,9.0
0,A10,0.0460117075665322,10.0
0,N2,0.07637952022261298,3.0
0,N2,0.06540818755375287,4.0
0,N2,0.06052005239849133,5.0
0,N2,0.058343089820715795,6.0
0,N2,0.055056266640297766,7.0
0,N2,0.05331936590325203,8.0
0,N2,0.04786437286634582,9.0
0,N2,0.04626726867484452,10.0
0,A8,0.07644217429985745,3.0
0,A8,0.0658682841360525,4.0
0,A8,0.06080802627142339,5.0
0,A8,0.05776600091022517,6.0
0,A8,0.05367026757415484,7.0
0,A8,0.049814051691822486,8.0
0,A8,0.04725669896364052,9.0
0,A8,0.046082606256526625,10.0
0,A1,0.07728972213634473,3.0
0,A1,0.06680925678863148,4.0
0,A1,0.06184968036566018,5.0
0,A1,0.05586814121230962,6.0
0,A1,0.053408742648382496,7.0
0,A1,0.04963392033593006,8.0
0,A1,0.047811191130258474,9.0
0,A1,0.04649653842883413,10.0
0,A3,0.07586744961715738,3.0
0,A3,0.06611191904837879,4.0
0,A3,0.06116172828126165,5.0
0,A3,0.055865085429345304,6.0
0,A3,0.053298303996723105,7.0
0,A3,0.05343664594801322,8.0
0,A3,0.047658287587977355,9.0
0,A3,0.045906396146635435,10.0
0,C8,0.07579873693227743,3.0
0,C8,0.06574981852321511,4.0
0,C8,0.060833050366114125,5.0
0,C8,0.05573975373828659,6.0
0,C8,0.052801016091739005,7.0
0,C8,0.053602048875092845,8.0
0,C8,0.04758540261747351,9.0
0,C8,0.04560597921841252,10.0
0,C5,0.0762836752716783,3.0
0,C5,0.06616017383748449,4.0
0,C5,0.060952168961001384,5.0
0,C5,0.05589408591112887,6.0
0,C5,0.05315578388309887,7.0
0,C5,0.05239093347468585,8.0
0,C5,0.046835918909341426,9.0
0,C5,0.04507352324343266,10.0
0,C2,0.07605767002329016,3.0
0,C2,0.06651062346215476,4.0
0,C2,0.061086546931394585,5.0
0,C2,0.05585297972751499,6.0
0,C2,0.0539900850498994,7.0
0,C2,0.05369366004232732,8.0
0,C2,0.0476208659211099,9.0
0,C2,0.04536445212971071,10.0
0,C9,0.07689206225264353,3.0
0,C9,0.0664953512784646,4.0
0,C9,0.061333430369419344,5.0
0,C9,0.05576117879225844,6.0
0,C9,0.05263153289664392,7.0
0,C9,0.05328515344105686,8.0
0,C9,0.04751448876911409,9.0
0,C9,0.04547869111412183,10.0
0,N4,0.07667166063480205,3.0
0,N4,0.06577050125128506,4.0
0,N4,0.06129336974726754,5.0
0,N4,0.05811982517304576,6.0
0,N4,0.05346138442228868,7.0
0,N4,0.05372124380559446,8.0
0,N4,0.04815665277404433,9.0
0,N4,0.0465071458964274,10.0
0,C1,0.07624478452317071,3.0
0,C1,0.0660098314811489,4.0
0,C1,0.06153209198017866,5.0
0,C1,0.05575101620882681,6.0
0,C1,0.05271024231067115,7.0
0,C1,0.05182014907186914,8.0
0,C1,0.04773065747283809,9.0
0,C1,0.0467635673583688,10.0
0,O2,0.07683604394409216,3.0
0,O2,0.06632263600076004,4.0
0,O2,0.06169704742266266,5.0
0,O2,0.058567310119155065,6.0
0,O2,0.05400181298145841,7.0
0,O2,0.053651065298007776,8.0
0,O2,0.04761617232656806,9.0
0,O2,0.045532586977459384,10.0
0,O10,0.07638801175830706,3.0
0,O10,0.06578414308794443,4.0
0,O10,0.06090393752588103,5.0
0,O10,0.0553091836028809,6.0
0,O10,0.052835877206124315,7.0
0,O10,0.052660611915670376,8.0
0,O10,0.04745460913172752,9.0
0,O10,0.04541737596169751,10.0
0,O5,0.07616217468062003,3.0
0,O5,0.06577141857637352,4.0
0,O5,0.060837200787557943,5.0
0,O5,0.05748359000088402,6.0
0,O5,0.05314100896326721,7.0
0,O5,0.05011581826589618,8.0
0,O5,0.04716704782685958,9.0
0,O5,0.04557887196575751,10.0
0,C7,0.07668268318964692,3.0
0,C7,0.0663543266880356,4.0
0,C7,0.0618262995194546,5.0
0,C7,0.05587856516947522,6.0
0,C7,0.05289215985926522,7.0
0,C7,0.052458610843859096,8.0
0,C7,0.04740642133673655,9.0
0,C7,0.04588402063745141,10.0
0,C10,0.0763533981501046,3.0
0,C10,0.0657927336781651,4.0
0,C10,0.061157315506300824,5.0
0,C10,0.05567958403303446,6.0
0,C10,0.053241067252791735,7.0
0,C10,0.05019630012134393,8.0
0,C10,0.04703692929326486,9.0
0,C10,0.04622283088844016,10.0
0,O7,0.07628198724704986,3.0
0,O7,0.06583504932793285,4.0
0,O7,0.0610065297108436,5.0
0,O7,0.05801776860793243,6.0
0,O7,0.05335701681045706,7.0
0,O7,0.05312530439227174,8.0
0,O7,0.047259907547098766,9.0
0,O7,0.045876684091386184,10.0
0,C3,0.0765344445410163,3.0
0,C3,0.06601183674991887,4.0
0,C3,0.061276168105411054,5.0
0,C3,0.055572180759814106,6.0
0,C3,0.05283822103882832,7.0
0,C3,0.0530114312421993,8.0
0,C3,0.047847286151180266,9.0
0,C3,0.04611064330913764,10.0
0,O1,0.07673773277431599,3.0
0,O1,0.06627110554844985,4.0
0,O1,0.06146130452124818,5.0
0,O1,0.05587408098802908,6.0
0,O1,0.052460292607237176,7.0
0,O1,0.05298383332461694,8.0
0,O1,0.04681500472510971,9.0
0,O1,0.045706334134005565,10.0
0,O8,0.07712868633007482,3.0
0,O8,0.06678964377585708,4.0
0,O8,0.06131052738216572,5.0
0,O8,0.0556217815064071,6.0
0,O8,0.05267678406830291,7.0
0,O8,0.05348485635843164,8.0
0,O8,0.04744185528038663,9.0
0,O8,0.04585666890180565,10.0
0,O6,0.07671838472946485,3.0
0,O6,0.06624773302531001,4.0
0,O6,0.06154674652818762,5.0
0,O6,0.05835632077913836,6.0
0,O6,0.05296882618562764,7.0
0,O6,0.05021185126976844,8.0
0,O6,0.04782611283440782,9.0
0,O6,0.04602482958957157,10.0
0,O4,0.07681608275305973,3.0
0,O4,0.06617333076225669,4.0
0,O4,0.06127812566450748,5.0
0,O4,0.05868546622330467,6.0
0,O4,0.054132276462197336,7.0
0,O4,0.05045240883611486,8.0
0,O4,0.04794351997371887,9.0
0,O4,0.04467996135851117,10.0
0,O9,0.07648043148948981,3.0
0,O9,0.06584759981461016,4.0
0,O9,0.06120515801981468,5.0
0,O9,0.05841964061053916,6.0
0,O9,0.0531693402993235,7.0
0,O9,0.050028600684865226,8.0
0,O9,0.04788593810486603,9.0
0,O9,0.046263772715209,10.0
0,O3,0.0765221778870791,3.0
0,O3,0.066058359423487,4.0
0,O3,0.061039665375971115,5.0
0,O3,0.05821240463785725,6.0
0,O3,0.05302197642104639,7.0
0,O3,0.0535752469428149,8.0
0,O3,0.04698106298859071,9.0
0,O3,0.0460551951121873,10.0
